1|Caca|Belic|Female|2024-04-01|898|tea@gmail.com|t|Student|1|28|1|False
2|P|jijk|Female|2024-04-01|985|s@gmail.com|s|Pensioner|5|-1,28|0|True
3|hjnlk|ijk|Female|2024-04-01|7484|y@gmail.com|y|Kindergartener|-1|-1|1|False
4|milica|bosancic|Female|2024-04-01|7484|milica@gmail.com|m|Kindergartener|-1|-1|1|True
5|tina|anicic|Female|2024-04-01|7484|anicictina22@gmail.com|t|Kindergartener|-1|-1|2|True
6|tea|belic|Female|2024-04-01|7484|tea2@gmail.com|t|Kindergartener|5|-1|1|False
7|jovana|panic|Female|2024-04-01|7484|jovana@gmail.com|j|Student|13|29|1|True
8|o|o|Male|2024-05-01|956|o@gmail.com|o@gmail.com|Kindergartener|-1|-1|1|False
9|g|g|Male|2023-02-01|345|h@gmail.com|h|Student|26|43|2|True
10|z|z|Male|2000-02-01|345|q@gmail.com|q|Student|26|43|1|True
